0.5	0.12	0.88	0.12	0.88	0.5	0.12	0.12	0.27	0.5	0.88	0.12	0.5	0.73	0.05	0.27	0.27	0.12	0.73	0.5	0.29625	0.36	0.365	0.3975	0.07625	0.50375	0.46875	0.0875	0.345	0.2325	0.23625	0.5	0.24875	0.15625	0.085	0.32	0.2325	0.08375	0.195	0.25125	3.8	1.5	-0.5	-1.47143	-1.33333	0.1593	0.275933	0.41108	0.434657	0.439711
0.27	0.02	0.02	0.02	0.12	0.05	0.02	0.02	0.02	0.88	0.73	0.05	0.5	0.12	0.05	0.05	0.27	0.02	0.12	0.99	0.325	0.44875	0.4725	0.32	0.17125	0.56	0.42125	0.09125	0.3575	0.185	0.255	0.57125	0.24875	0.2325	0.085	0.3475	0.21375	0.09625	0.27125	0.19	4.2	1.5	-0.58	-0.657143	-1.37778	0.0407	0.2514	0.35764	0.352086	0.367667
0.12	0.27	0.12	0.05	0.02	0.98	0.27	0.02	0.88	0.05	0.12	0.27	0.12	0.73	0.05	0.27	0.12	0.5	1	0.05	0.34375	0.29875	0.42875	0.3025	0.19625	0.3875	0.35875	0.08625	0.1425	0.3775	0.44875	0.43125	0.3725	0.1875	0.08125	0.31125	0.2325	0.04	0.16125	0.3925	-3.5	-1.06667	0.48	-0.714286	-0.522222	0.5542	0.3337	0.23268	0.293514	0.363467
0.12	0.73	0.12	0.05	0.12	0.27	0.12	0.05	0.12	0.73	0.88	0.88	0.98	0.27	0.05	0.12	0.27	0.05	0.12	0.5	0.405	0.2225	0.37125	0.19875	0.215	0.4	0.26875	0.11	0.21875	0.305	0.3575	0.3075	0.27375	0.24875	0.08125	0.3775	0.21375	0.09625	0.27125	0.36375	-3.9	-1.86667	-1.06	0.328571	0.0666667	0.4062	0.321133	0.2535	0.281429	0.296233
1	0.05	0.05	0.05	0.27	0.12	0.12	0.27	0.05	0.12	0.05	0.12	0.12	0.05	0.12	0.73	0.27	0.02	0.05	0.27	0.295	0.3075	0.3225	0.19875	0.195	0.4	0.27125	0.07375	0.2275	0.38125	0.46125	0.37375	0.38125	0.27625	0.0725	0.2725	0.195	0.1	0.28	0.38875	1.8	-2	-1.14	0.0428571	0.0666667	0.003	0.2242	0.354	0.268429	0.2661
0.12	0.88	0.88	0.27	0.02	0.5	0.5	0.05	0.12	0.02	0.02	1	0.05	0.02	0.12	0.27	0.12	0.02	0.05	0.05	0.3575	0.25125	0.1425	0.19	0.11875	0.415	0.31875	0.0925	0.21875	0.33375	0.36125	0.31125	0.41875	0.19125	0.0725	0.33	0.195	0.09125	0.195	0.36	-3.9	0.566667	-0.08	-1.05714	-0.744444	0.2634	0.269867	0.25682	0.313557	0.334022
0.12	0.05	0.02	0.01	0.12	0.05	0.02	0.01	0.02	0.73	0.99	0.05	0.73	0.27	0.02	0.05	0.12	0.05	0.12	0.73	0.4475	0.3675	0.2625	0.22625	0.125	0.48	0.39125	0.12875	0.235	0.15	0.155	0.43875	0.28625	0.15125	0.09375	0.4425	0.22375	0.0875	0.1775	0.185	3.8	0.566667	0	-1.05714	-1.01111	0.5432	0.291633	0.2469	0.344471	0.388511
0.99	0.12	0.27	0.12	0.27	0.12	0.12	0.27	0.12	0.12	0.05	0.12	0.12	0.05	0.12	0.88	0.27	0.02	0.05	0.27	0.33875	0.35875	0.25	0.26875	0.105	0.44	0.47	0.1	0.14625	0.22125	0.26	0.45875	0.35375	0.08875	0.09	0.33875	0.205	0.03125	0.0675	0.23875	1.8	0.7	-1.06	-0.242857	-1.01111	0.0683	0.3227	0.40042	0.362314	0.403811
0.12	0.27	0.27	0.95	0.01	0.73	1	0.05	0.27	0.02	0.02	0.5	0.05	0.02	0.12	0.27	0.12	0.02	0.05	0.02	0.43875	0.37375	0.25	0.165	0.12375	0.3925	0.37875	0.12375	0.14625	0.145	0.16	0.3925	0.24625	0.06125	0.09	0.415	0.205	0.0275	0.05875	0.21	-3.5	-1.73333	0.08	-1	-1.07778	0.3566	0.3985	0.45396	0.460729	0.442778
0.12	0.5	0.27	0.27	0.02	1	0.88	0.05	0.27	0.02	0.05	0.5	0.73	0.02	0.05	0.27	0.12	0.05	0.05	0.05	0.31625	0.345	0.24625	0.245	0.09125	0.35	0.38125	0.09125	0.2025	0.13625	0.15625	0.38	0.1525	0.165	0.085	0.33	0.1775	0.1125	0.1775	0.17875	-3.5	-1.73333	-1.38	-1.08571	-1.42222	0.7706	0.552767	0.4837	0.531229	0.471589
0.99	0.12	0.12	0.05	0.27	0.12	0.12	0.27	0.05	0.12	0.05	0.12	0.12	0.05	0.12	0.73	0.5	0.02	0.05	0.27	0.19875	0.2975	0.18875	0.3625	0.05875	0.46	0.5375	0.06375	0.23	0.1225	0.155	0.33625	0.225	0.16	0.0675	0.2725	0.13	0.115	0.17375	0.1475	1.8	-1.73333	-2.64	-1.81429	-1.37778	0.5311	0.664533	0.62142	0.4911	0.520467
0.12	0.27	0.27	0.5	0.01	0.73	1	0.05	0.27	0.01	0.02	0.5	0.05	0.01	0.12	0.27	0.12	0.02	0.05	0.02	0.3075	0.2875	0.20125	0.42875	0.0775	0.44	0.55	0.105	0.215	0.04625	0.0375	0.31625	0.145	0.1325	0.07125	0.3575	0.1775	0.11	0.16125	0.09	-3.5	-2.06667	-2.2	-2.57143	-2.18889	0.6919	0.659967	0.60256	0.581814	0.496789
0.05	1	0.12	0.05	0.01	0.5	0.27	0.02	0.27	0.02	0.05	0.73	0.05	0.02	0.05	0.12	0.12	0.02	0.05	0.02	0.19875	0.1875	0.18875	0.47125	0.05	0.46875	0.62875	0.07625	0.20625	0.06375	0.09	0.27875	0.255	0.14	0.0675	0.2725	0.15	0.11375	0.16125	0.09	-4.5	-3.1	-2.2	-2.57143	-2.17778	0.7569	0.570367	0.5891	0.578029	0.492189
0.02	0.05	0.02	0.01	0.02	0.05	0.02	0.01	0.5	0.05	0.05	0.02	0.05	0.88	0.01	0.05	0.05	0.73	1	0.05	0.30625	0.27875	0.17	0.36	0.0625	0.44	0.54125	0.0775	0.14625	0.14875	0.12125	0.31125	0.2825	0.03625	0.06375	0.2625	0.1775	0.025	0.0425	0.2075	-1.3	-3.1	-3.26	-1.8	-1.58889	0.2623	0.574167	0.5489	0.471786	0.464133
0.05	0.12	0.27	0.99	0.01	0.5	0.99	0.05	0.12	0.01	0.01	0.27	0.02	0.01	0.05	0.27	0.12	0.01	0.02	0.02	0.37875	0.24125	0.13875	0.295	0.06375	0.36875	0.43375	0.12875	0.175	0.15375	0.1225	0.30875	0.20125	0.145	0.0675	0.26375	0.1875	0.11125	0.165	0.22	-3.5	-2.76667	-2.18	-1.8	-1	0.7033	0.4319	0.4159	0.410786	0.4354
0.12	0.12	0.27	0.99	0.01	0.5	1	0.12	0.12	0.01	0.02	0.27	0.02	0.01	0.05	0.27	0.12	0.01	0.02	0.02	0.35625	0.2325	0.18625	0.295	0.14	0.36875	0.48	0.10125	0.23125	0.15375	0.13	0.30875	0.20125	0.2625	0.05875	0.235	0.15875	0.1425	0.2775	0.20125	-3.5	-1.7	-0.92	-1.04286	-0.922222	0.3301	0.353433	0.28534	0.385086	0.388378
0.05	0.05	0.02	0.01	0.05	0.12	0.02	0.01	0.05	0.27	0.5	0.05	1	0.12	0.02	0.05	0.05	0.05	0.05	0.27	0.35625	0.21375	0.18625	0.35625	0.24375	0.33125	0.48	0.11	0.20875	0.15375	0.13	0.28	0.1975	0.2625	0.04875	0.23125	0.15875	0.1375	0.27375	0.20125	1.9	0.0666667	-0.3	-0.0428571	-0.322222	0.0269	0.1537	0.33528	0.292371	0.314644
0.95	0.05	0.02	0.02	0.12	0.05	0.05	0.05	0.02	0.73	0.27	0.05	0.27	0.05	0.05	0.12	0.27	0.02	0.05	0.99	0.2525	0.19875	0.23375	0.41125	0.24	0.36875	0.56125	0.1175	0.2125	0.1	0.15875	0.3125	0.2975	0.275	0.05375	0.24125	0.15	0.145	0.2825	0.115	1.8	1.83333	0.9	0.414286	-0.255556	0.1041	0.214333	0.2162	0.258943	0.266389
0.73	0.27	0.27	0.73	0.02	0.88	0.99	0.5	0.12	0.02	0.02	0.73	0.05	0.02	0.12	0.5	0.27	0.02	0.05	0.12	0.36875	0.25625	0.29125	0.355	0.265	0.35	0.50375	0.09375	0.17125	0.21625	0.2175	0.34375	0.3525	0.18375	0.0775	0.27875	0.235	0.06	0.1725	0.2325	1.8	2.03333	1.98	0.357143	-0.2	0.512	0.241333	0.15584	0.204557	0.288856
0.88	0.05	0.5	0.05	0.88	0.12	0.5	0.12	0.5	0.12	0.12	0.12	0.12	0.99	0.05	0.5	0.27	0.27	0.95	0.12	0.40625	0.275	0.235	0.3225	0.17125	0.3975	0.4475	0.14125	0.115	0.3125	0.295	0.40125	0.45125	0.095	0.08625	0.26	0.25375	0.03375	0.12	0.35375	2.5	2.06667	0.82	0.742857	0.655556	0.1079	0.216067	0.21498	0.223757	0.213511
0.05	0.05	0.02	0.01	0.88	0.05	0.02	0.01	0.02	0.27	0.5	0.05	1	0.12	0.01	0.02	0.05	0.02	0.05	0.27	0.6175	0.275	0.27625	0.21875	0.20375	0.35875	0.3975	0.17375	0.175	0.32625	0.26	0.39125	0.3725	0.2175	0.1	0.34875	0.37625	0.07	0.245	0.4425	1.9	0.166667	0.3	1.07143	0.966667	0.0283	0.152933	0.28706	0.223514	0.185789
0.12	0.88	0.5	0.5	0.05	0.73	0.95	0.12	0.27	0.05	0.05	0.99	0.12	0.05	0.12	0.27	0.27	0.05	0.12	0.05	0.665	0.25625	0.27625	0.21875	0.335	0.35	0.3975	0.1925	0.17125	0.32625	0.26875	0.3775	0.3725	0.2175	0.1175	0.37375	0.43375	0.06625	0.245	0.45125	-3.9	-0.933333	0.78	0.714286	0.366667	0.3226	0.2718	0.1897	0.220157	0.242711
0.73	0.73	0.73	0.27	0.12	0.73	0.5	0.27	0.27	0.27	0.27	0.95	0.27	0.12	0.27	0.73	0.73	0.05	0.12	0.12	0.5325	0.3025	0.27875	0.3075	0.32625	0.435	0.51	0.23	0.18375	0.24125	0.29875	0.43875	0.43875	0.23625	0.155	0.36375	0.43375	0.07875	0.25375	0.38125	-0.8	-0.166667	0.14	-0.0428571	-0.222222	0.4645	0.270767	0.18424	0.224043	0.271978
0.5	0.05	0.05	0.05	0.12	0.12	0.05	0.05	0.05	0.88	0.73	0.12	0.88	0.27	0.05	0.12	0.27	0.05	0.5	0.99	0.56125	0.3875	0.44	0.35375	0.33875	0.435	0.505	0.305	0.23	0.19625	0.25375	0.485	0.39	0.23	0.23	0.46875	0.52	0.0825	0.215	0.34875	4.2	0.9	-0.94	-0.9	-0.466667	0.0252	0.1901	0.28642	0.261129	0.260667
0.98	0.12	0.12	0.12	0.27	0.12	0.12	0.27	0.12	0.27	0.12	0.12	0.27	0.12	0.12	0.5	0.88	0.05	0.12	0.88	0.45375	0.435	0.43125	0.43	0.225	0.51125	0.5525	0.325	0.26875	0.29125	0.33	0.5325	0.485	0.14	0.24875	0.42125	0.44375	0.06375	0.1775	0.41	-0.7	0	-0.86	-1.22857	-0.544444	0.0806	0.215	0.2954	0.315686	0.313556
0.5	0.73	0.5	0.5	0.27	0.73	0.95	0.27	0.27	0.05	0.12	0.88	0.12	0.05	0.27	0.5	0.73	0.05	0.12	0.12	0.54125	0.38625	0.44375	0.49125	0.12125	0.49125	0.56875	0.3575	0.28125	0.3	0.2825	0.49375	0.39375	0.14	0.32	0.4525	0.51875	0.0675	0.18625	0.53375	-3.5	-2.56667	-0.78	-0.414286	-1.14444	0.5392	0.3291	0.28454	0.353014	0.371089
0.5	0.27	0.27	0.5	0.12	0.73	0.5	0.5	0.12	0.27	0.73	0.5	0.95	0.27	0.5	0.5	0.73	0.12	0.12	0.5	0.54125	0.34875	0.425	0.44375	0.14875	0.43375	0.5975	0.32	0.28125	0.32875	0.3225	0.4325	0.385	0.14	0.29125	0.43375	0.51875	0.0675	0.18625	0.5425	-3.5	-2.46667	-1.26	-0.8	-0.288889	0.3675	0.438967	0.39628	0.364671	0.358133
0.73	0.27	0.88	0.88	0.12	0.27	0.5	0.88	0.27	0.27	0.12	0.27	0.27	0.12	0.5	0.73	0.5	0.05	0.12	0.73	0.48375	0.29125	0.3675	0.425	0.14875	0.4625	0.645	0.30125	0.2625	0.31	0.38	0.37625	0.45125	0.15875	0.29125	0.4325	0.575	0.07625	0.18625	0.51375	-0.4	-0.7	-1.82	-0.857143	-0.288889	0.4102	0.453867	0.48938	0.3905	0.3653
